customer_id,first_name,last_name,email,phone,address
1,Grégoire,Martin,mercieranastasie@examplebank.com,+33 6 66 03 58 08,"64, boulevard Morel, 35454 LefèvreBourg"
2,Xavier,Louis,ebertin@examplebank.com,+33 6 95 95 31 07,"85, chemin Pons, 86644 Parent"
3,Michel,Tessier,yves23@examplebank.com,+33 6 28 45 18 87,"142, rue Manon Leblanc, 60774 Maillet-sur-Mer"
4,Odette,Brunet,valerie25@examplebank.com,+33 6 58 23 86 03,"13, avenue Guillou, 80304 Ferrandboeuf"
5,Jeannine,Martin,denisjourdan@examplebank.com,+33 6 71 90 20 29,"3, rue Laurent Leleu, 59294 Loiseau"
6,Thierry,Brunel,frederique50@examplebank.com,+33 6 60 44 58 99,"86, avenue de Regnier, 93313 Letellier"
7,Susanne,Pruvost,wcarre@examplebank.com,+33 6 07 86 35 14,"48, rue Jérôme Marin, 10479 Alves"
8,Simone,Lefebvre,nathalie27@examplebank.com,+33 6 51 42 38 40,"34, rue Noémi Riou, 05395 Brunel-la-Forêt"
9,Élisabeth,Bernier,davidtecher@examplebank.com,+33 6 02 81 94 17,"94, chemin André Lenoir, 66904 Tessier-la-Forêt"
10,Simone,Allain,bernierjosephine@examplebank.com,+33 6 05 42 08 25,"55, boulevard Émile Rivière, 24847 Allard"
11,Constance,Baron,philippedubois@examplebank.com,+33 6 94 00 66 53,"86, chemin Lemaire, 05334 Rodriguez"
12,Noël,Lucas,martineremy@examplebank.com,+33 6 74 10 00 90,"20, avenue Benjamin Aubry, 66858 Raynaudboeuf"
13,Thibaut,Didier,costematthieu@examplebank.com,+33 6 44 50 71 22,"646, rue de Normand, 46300 Mace"
14,Émile,Le Goff,cmace@examplebank.com,+33 6 64 87 15 81,"89, rue de Fouquet, 38429 Carondan"
15,Pierre,Coulon,opierre@examplebank.com,+33 6 58 29 40 52,"rue Bouvier, 07434 Turpin"
16,François,Lemoine,paulettedupuy@examplebank.com,+33 6 77 30 76 67,"34, avenue Jules Gay, 68763 Ruiz"
17,Catherine,Turpin,kgaudin@examplebank.com,+33 6 71 78 83 64,"rue Torres, 09493 Sainte Audrey"
18,Jeannine,Dupuy,manonleclercq@examplebank.com,+33 6 70 94 28 13,"331, rue Marianne Delahaye, 57807 Renault-sur-Mer"
19,Emmanuel,Roux,rene05@examplebank.com,+33 6 21 78 50 22,"15, rue Collet, 88413 Sainte Valérie-les-Bains"
20,Stéphane,Lacombe,louis28@examplebank.com,+33 6 53 49 22 89,"99, rue Franck Thibault, 90129 Albert-sur-Mer"
21,Benoît,Roy,xtessier@examplebank.com,+33 6 71 71 79 62,"2, boulevard de Hamon, 83900 ThomasVille"
22,Aimée,Laporte,morelfrederique@examplebank.com,+33 6 28 37 50 48,"61, boulevard de Maillard, 45686 Lecoq"
23,Catherine,Didier,auguste67@examplebank.com,+33 6 42 58 97 55,"483, rue Perrot, 52316 Joubert"
24,Étienne,Delahaye,pgodard@examplebank.com,+33 6 44 79 95 47,"rue Jeanne Lecomte, 79776 Mathieu-sur-Gros"
25,Véronique,Paris,daniel04@examplebank.com,+33 6 37 21 27 53,"637, chemin Susan Dubois, 33539 Thomas"
26,Augustin,Guillaume,robertetienne@examplebank.com,+33 6 11 78 66 17,"4, rue Grégoire Picard, 61471 Saint Lucie"
27,René,Ferreira,thierry14@examplebank.com,+33 6 31 54 47 00,"601, rue de Fournier, 31731 Saint Manondan"
28,Noël,Normand,margauxribeiro@examplebank.com,+33 6 71 90 30 45,"37, rue Arthur Menard, 35143 Thomas"
29,Lucie,Lemonnier,rcollin@examplebank.com,+33 6 31 66 39 79,"23, rue Hélène Adam, 82591 Bonneau-sur-Mer"
30,Michelle,Perrot,olivierfournier@examplebank.com,+33 6 69 82 47 16,"avenue Dominique Jacquot, 15600 Pelletier"
31,Océane,Maillet,mariejoseph@examplebank.com,+33 6 94 84 47 93,"75, rue de Lombard, 79320 Navarro-sur-Mer"
32,Simone,Letellier,lpires@examplebank.com,+33 6 64 01 94 90,"42, avenue de Jacques, 20196 Saint LucieVille"
33,Brigitte,Ollivier,alfred92@examplebank.com,+33 6 50 37 64 96,"54, avenue Marthe Prévost, 16735 Costa"
34,Odette,Gallet,julietteroy@examplebank.com,+33 6 54 13 98 21,"1, boulevard Henriette Marques, 85275 Saint JosephVille"
