transaction_id,account_number,amount,transaction_type,transaction_date
1,1463,-8358.77,Withdrawal,2025-05-10T10:51:33
2,1243,3241.51,Transfer,2024-12-16T09:20:20
3,1017,6940.19,Deposit,2023-03-21T19:03:53
4,1495,-3169.74,Withdrawal,2024-03-13T06:15:29
5,1099,-4978.66,Withdrawal,2022-06-27T21:40:58
6,1487,8735.53,Deposit,2024-08-20T18:33:30
7,1223,8421.57,Transfer,2025-02-01T15:24:55
8,1283,9640.07,Transfer,2025-04-24T10:11:45
9,1291,2349.51,Transfer,2022-06-28T09:18:49
10,1184,1740.39,Deposit,2025-02-02T22:31:46
11,1406,8538.53,Deposit,2022-09-07T10:31:38
12,1123,1651.64,Transfer,2025-02-27T23:30:11
13,1317,9251.29,Transfer,2025-02-05T02:31:14
14,1239,3996.93,Transfer,2024-03-13T11:24:00
15,1190,2344.78,Deposit,2025-02-05T16:36:18
16,1285,3364.17,Deposit,2024-06-30T07:32:27
17,1130,3803.87,Transfer,2024-07-05T02:08:41
18,1231,1770.34,Deposit,2024-08-09T22:43:41
19,1329,8800.54,Deposit,2023-02-09T08:58:11
20,1090,2912.55,Deposit,2025-04-13T05:41:15
21,1113,3152.02,Deposit,2025-04-04T08:17:27
22,1258,6909.85,Deposit,2024-01-13T23:47:27
23,1205,9176.14,Transfer,2025-01-09T12:54:32
24,1153,478.77,Deposit,2025-02-16T02:04:11
25,1158,-3898.42,Withdrawal,2024-04-02T03:08:36
26,1484,7114.69,Deposit,2022-01-28T06:29:01
27,1064,-2075.85,Withdrawal,2021-09-06T16:18:52
28,1102,162.65,Deposit,2022-05-24T07:27:04
29,1056,2721.47,Transfer,2023-12-02T12:03:58
30,1377,-21539.1,Withdrawal,2022-11-06T17:54:30
31,1096,3915.4,Deposit,2022-08-21T11:36:46
32,1406,6389.83,Transfer,2022-09-25T23:22:29
33,1053,-50.99,Withdrawal,2024-01-11T19:12:36
34,1068,-21209.24,Withdrawal,2024-02-24T05:36:05
35,1459,4387.32,Transfer,2024-06-30T19:12:24
36,1434,2813.21,Transfer,2025-01-11T03:50:05
37,1241,-16577.31,Withdrawal,2025-04-24T12:37:33
38,1158,4957.62,Deposit,2025-01-26T01:33:01
39,1192,-6215.69,Withdrawal,2023-11-23T04:33:52
40,1280,123.08,Deposit,2023-08-24T17:22:09
41,1012,-5700.11,Withdrawal,2025-05-10T04:13:28
42,1034,-455.6,Withdrawal,2023-10-30T07:30:15
43,1281,1594.9,Transfer,2023-03-07T09:23:39
44,1059,1977.25,Deposit,2022-11-25T18:52:22
45,1097,5579.37,Deposit,2025-01-12T06:30:13
46,1465,2072.32,Transfer,2025-05-01T16:43:35
47,1436,6065.42,Transfer,2024-10-13T16:17:22
48,1355,8865.93,Transfer,2022-06-23T05:52:32
49,1372,7758.75,Transfer,2024-11-15T09:09:34
50,1125,-718.3,Withdrawal,2025-01-24T12:48:41
51,1160,943.49,Deposit,2025-04-23T04:05:55
52,1445,93.35,Deposit,2025-01-10T23:06:05
53,1441,-1826.45,Withdrawal,2023-05-25T14:03:39
54,1192,-18564.45,Withdrawal,2024-10-26T06:05:17
55,1201,3034.03,Deposit,2025-05-10T06:43:35
56,1065,3074.44,Deposit,2025-02-05T23:43:08
57,1160,-37058.33,Withdrawal,2025-04-21T23:38:32
58,1317,-6473.6,Withdrawal,2025-05-10T15:03:50
59,1203,-7355.91,Withdrawal,2023-12-06T19:47:09
60,1185,4363.99,Transfer,2024-09-02T15:56:54
61,1474,241.82,Transfer,2025-03-29T19:14:03
62,1003,-47.41,Withdrawal,2021-09-02T13:41:24
63,1373,8094.51,Transfer,2024-11-10T08:25:07
64,1293,-9924.78,Withdrawal,2024-08-17T10:28:17
65,1075,-11311.26,Withdrawal,2024-11-20T15:42:39
66,1038,-2941.1,Withdrawal,2022-11-04T23:06:54
67,1392,-9126.66,Withdrawal,2023-12-12T17:17:45
68,1158,6993.36,Deposit,2024-08-15T16:04:20
69,1110,7407.92,Deposit,2025-02-11T20:44:38
70,1069,-10299.4,Withdrawal,2024-02-20T23:34:47
